All,appliances,All 4000
1683.652,1683.652,1235.7078899083
1761.986,1761.986,1293.200733945
1051.989,1051.989,772.1020183486
388.853,388.853,285.3966972477
2484.4035786117,336.989,1823.4154705407
2141.1376666667,396.971,1571.4771865444
2373.0786666667,628.912,1741.7091131499
2276.1996666667,532.033,1670.6052599388
2152.8256666667,408.659,1580.0555351682
1764.4856666667,20.319,1295.035351682
1764.4856666667,20.319,1295.035351682
1910.6101666667,166.4435,1402.2826911315
2001.9239700891,208.652,1469.3019963957
2359.9479207673,103.379,1732.0718684531
1831.0116666667,86.845,1343.8617737003
2131.3486666667,387.182,1564.2925993884
2164.2879004983,374.262,1588.468183852
2059.6786666667,315.512,1511.690764526
439.339,439.339,322.4506422018
533.649,533.649,391.6689908257
506.989,506.989,372.1020183486
443.4459572254,383.649,325.4649227342
560.319,560.319,411.2433027523
635.862,635.862,466.687706422
603.312,603.312,442.7977981651
430.259,430.259,315.7864220183
1987.1856666667,243.019,1458.4848929664
129.768,129.768,95.2425688073
63.101,63.101,46.3126605505
129.768,129.768,95.2425688073
308.098,308.098,226.1269724771
286.243,286.243,210.0866055046
415.319,415.319,304.8212844037
409.3767118031,376.982,300.4599719656
2014.4856666667,270.319,1478.5215902141
336.989,336.989,247.3313761468
306.986,306.986,225.3108256881
270.319,270.319,198.399266055
373.649,373.649,274.2377981651
241.986,241.986,177.6044036697
1816.1526666667,71.986,1332.9560856269
1874.4856666667,130.319,1375.7692966361
1340.6040634378,83.652,983.9295878443
641.2393333333,292.406,470.6343730887
524.1523333333,175.319,384.6989602446
20.319,20.319,14.9130275229
187.383,187.383,137.5288073395
402.587,402.587,295.4766972477
299.25,299.25,219.6330275229
250.72,250.72,184.0146788991
83.652,83.652,61.3959633028
210.319,210.319,154.3625688073
53.652,53.652,39.3776146789
141.985,141.985,104.2091743119
285.319,285.319,209.408440367
315.316,315.316,231.424587156
53.652,53.652,39.3776146789
53.652,53.652,39.3776146789
20.319,20.319,14.9130275229
277.652,277.652,203.7812844037
553.814,553.814,406.4689908257
216.294,216.294,158.7478899083
98.703,98.703,72.4425688073
117.763,117.763,86.431559633
129.968,129.968,95.3893577982
306.25,306.25,224.7706422018
351.986,351.986,258.3383486239
274.805,274.805,201.6917431193
198.138,198.138,145.4223853211
138.135,138.135,101.3834862385
125.211,125.211,91.8979816514
196.989,196.989,144.5790825688
2000.0206666667,255.854,1467.9050764526
